,Unnamed: 0,md5hash,fitzpatrick_scale,fitzpatrick_centaur,species,nine_partition_label,three_partition_label,qc,url,url_alphanum,filename,fitzpatrick,fitzpatrick_v,three_v,nine_v,label_v,split,label
10,10,78f3ed48d6d52a06aec85e3b884f988c,2,1,pustular psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pustular_psoriasis/pustular_psoriasis33.jpg,httpwwwdermaamincomsiteimagesclinicalpicppustularpsoriasispustularpsoriasis33jpg.jpg,data/finalfitz17k/78f3ed48d6d52a06aec85e3b884f988c.jpg,1.5,1,2,4,87,val,29
11,11,d52c33f0ce4c9947fc062f4c95ab50f2,1,1,congenital nevus,benign melanocyte,benign,,https://www.dermaamin.com/site/images/clinical-pic/c/congential_nevus/congential_nevus47.jpg,httpwwwdermaamincomsiteimagesclinicalpicccongentialnevuscongentialnevus47jpg.jpg,data/finalfitz17k/d52c33f0ce4c9947fc062f4c95ab50f2.jpg,1.0,0,0,2,14,val,18
12,12,0f1c8aa6379fd11f6da506bb6261ff34,2,4,ichthyosis vulgaris,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/I/ichthyosis_vulgaris/ichthyosis_vulgaris11.jpg,httpwwwdermaamincomsiteimagesclinicalpicIichthyosisvulgarisichthyosisvulgaris11jpg.jpg,data/finalfitz17k/0f1c8aa6379fd11f6da506bb6261ff34.jpg,3.0,4,2,3,39,val,16
13,13,39e581343e297e742ce60913041eb913,2,1,lichen amyloidosis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen-amyloidosis/lichen-amyloidosis40.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenamyloidosislichenamyloidosis40jpg.jpg,data/finalfitz17k/39e581343e297e742ce60913041eb913.jpg,1.5,1,2,4,47,val,32
14,14,9ca8f182508e1ba170344475071cfd86,1,1,livedo reticularis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/livedo-reticularis/livedo-reticularis46.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlivedoreticularislivedoreticularis46jpg.jpg,data/finalfitz17k/9ca8f182508e1ba170344475071cfd86.jpg,1.0,0,2,4,50,val,14
15,15,edf0addcaf68ff5eb7ee399a43ecdd6d,2,1,keratosis pilaris,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/k/keratosis-pilaris/keratosis-pilaris64.jpg,httpwwwdermaamincomsiteimagesclinicalpickkeratosispilariskeratosispilaris64jpg.jpg,data/finalfitz17k/edf0addcaf68ff5eb7ee399a43ecdd6d.jpg,1.5,1,2,4,44,val,33
16,16,6c8b17c2502ade3908f3778a385e4e47,2,1,epidermal nevus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus64.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus64jpg.jpg,data/finalfitz17k/6c8b17c2502ade3908f3778a385e4e47.jpg,1.5,1,0,1,24,val,1
17,17,6b7b5c1b62dc2203ae7dfd102d750b53,6,6,xeroderma pigmentosum,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum49.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum49jpg.jpg,data/finalfitz17k/6b7b5c1b62dc2203ae7dfd102d750b53.jpg,6.0,10,2,3,113,val,6
18,18,62879a7c43c9ca699142271a9417331d,3,4,xeroderma pigmentosum,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum51.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum51jpg.jpg,data/finalfitz17k/62879a7c43c9ca699142271a9417331d.jpg,3.5,5,2,3,113,val,6
19,19,13aeee2d0e9c61d9d86714c96f9dbd0c,6,5,porokeratosis of mibelli,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli62.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporokeratosisofmibelliporokeratosisofmibelli62jpg.jpg,data/finalfitz17k/13aeee2d0e9c61d9d86714c96f9dbd0c.jpg,5.5,9,0,1,82,val,21
20,20,13ea4c41d5fa88057f42ff2b9c538e97,5,3,pustular psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pustular_psoriasis/pustular_psoriasis43.jpg,httpwwwdermaamincomsiteimagesclinicalpicppustularpsoriasispustularpsoriasis43jpg.jpg,data/finalfitz17k/13ea4c41d5fa88057f42ff2b9c538e97.jpg,4.0,6,2,4,87,val,29
21,21,3d2725644347e8b2d567c79c424671f8,1,1,seborrheic keratosis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-keratoses/seborrheic-keratoses5.jpg,httpwwwdermaamincomsiteimagesclinicalpicsseborrheickeratosesseborrheickeratoses5jpg.jpg,data/finalfitz17k/3d2725644347e8b2d567c79c424671f8.jpg,1.0,0,0,1,96,val,23
22,22,2d7c7bced96404fbdfeb3f853c43fd63,3,5,pilar cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_cyst/epidermal_cyst31.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalcystepidermalcyst31jpg.jpg,data/finalfitz17k/2d7c7bced96404fbdfeb3f853c43fd63.jpg,4.0,6,0,0,76,val,2
23,23,642114296aa558155206d8465cf2da93,2,1,nevocytic nevus,benign melanocyte,benign,,https://www.dermaamin.com/site/images/clinical-pic/n/nevocyticn-nevus/nevocyticn-nevus14.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnevocyticnnevusnevocyticnnevus14jpg.jpg,data/finalfitz17k/642114296aa558155206d8465cf2da93.jpg,1.5,1,0,2,69,val,31
24,24,c4e756a73b81a23c03e4f57e07a93718,3,2,erythema annulare centrifigum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_annulare_centrifugum/erythema_annulare_centrifugum63.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemaannularecentrifugumerythemaannularecentrifugum63jpg.jpg,data/finalfitz17k/c4e756a73b81a23c03e4f57e07a93718.jpg,2.5,3,2,4,26,val,27
25,25,1b223dc98a9d6e38cc2a6564658c222f,1,1,dyshidrotic eczema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/dyshidrotic_eczema/dyshidrotic_eczema25.jpg,httpwwwdermaamincomsiteimagesclinicalpicddyshidroticeczemadyshidroticeczema25jpg.jpg,data/finalfitz17k/1b223dc98a9d6e38cc2a6564658c222f.jpg,1.0,0,2,4,21,val,17
26,26,df2263520e65188035c7977b4975ecb8,1,1,sun damaged skin,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn5.jpg,httpwwwdermaamincomsiteimagesclinicalpicssunburnsunburn5jpg.jpg,data/finalfitz17k/df2263520e65188035c7977b4975ecb8.jpg,1.0,0,2,4,102,val,5
27,27,2db363302f9ab9feaf27e91c64328fcc,1,1,solid cystic basal cell carcinoma,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/s/solid-cysticbasalcell-carcinoma/solid-cysticbasalcell-carcinoma50.jpg,httpwwwdermaamincomsiteimagesclinicalpicssolidcysticbasalcellcarcinomasolidcysticbasalcellcarcinoma50jpg.jpg,data/finalfitz17k/2db363302f9ab9feaf27e91c64328fcc.jpg,1.0,0,1,7,97,val,12
28,28,3c8ce13b81a44ee8869b125cde4a2db0,5,6,lichen simplex,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_simplex/lichen_simplex4.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichensimplexlichensimplex4jpg.jpg,data/finalfitz17k/3c8ce13b81a44ee8869b125cde4a2db0.jpg,5.5,9,2,4,49,val,15
29,29,6665cb85a809c278dc432008fbe3b42c,2,1,epidermal nevus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus60.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus60jpg.jpg,data/finalfitz17k/6665cb85a809c278dc432008fbe3b42c.jpg,1.5,1,0,1,24,val,1
30,30,cc24d9c78429432344d10a42abde03ef,1,1,granuloma pyogenic,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum42.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomapyogenicumgranulomapyogenicum42jpg.jpg,data/finalfitz17k/cc24d9c78429432344d10a42abde03ef.jpg,1.0,0,0,0,35,val,34
31,31,c07f64b08dee14fc1eced8dd1ba9434b,1,-1,nevus sebaceous of jadassohn,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/n/nevus-sebaceous-of-jadassohn/nevus-sebaceous-of-jadassohn24.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnevussebaceousofjadassohnnevussebaceousofjadassohn24jpg.jpg,data/finalfitz17k/c07f64b08dee14fc1eced8dd1ba9434b.jpg,1.0,0,0,1,70,val,39
32,32,21a71e71e4b416ae67ec67e0e3b44c50,4,3,erythema elevatum diutinum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_elevatum_diutinum/erythema_elevatum_diutinum17.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemaelevatumdiutinumerythemaelevatumdiutinum17jpg.jpg,data/finalfitz17k/21a71e71e4b416ae67ec67e0e3b44c50.jpg,3.5,5,2,4,27,val,24
33,33,2507659866ad46669dc6086f4d5688c7,2,-1,mucous cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/m/mucocele/mucocele4.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmucocelemucocele4jpg.jpg,data/finalfitz17k/2507659866ad46669dc6086f4d5688c7.jpg,2.0,2,0,0,59,val,25
34,34,261933debddf8293ebfa2d2867705643,2,1,congenital nevus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/n/naevus-congenital/naevus-congenital23.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnaevuscongenitalnaevuscongenital23jpg.jpg,data/finalfitz17k/261933debddf8293ebfa2d2867705643.jpg,1.5,1,0,1,62,val,18
35,35,11db9056f2f11bee48d54a3ddf3a527f,2,2,acanthosis nigricans,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans10.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacanthosisnigricansacanthosisnigricans10jpg.jpg,data/finalfitz17k/11db9056f2f11bee48d54a3ddf3a527f.jpg,2.0,2,2,4,0,val,38
36,36,33df7010afc0c9b9e660114abc46dfa4,4,2,lentigo maligna,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna20.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlentigomalignalentigomaligna20jpg.jpg,data/finalfitz17k/33df7010afc0c9b9e660114abc46dfa4.jpg,3.0,4,1,8,46,val,9
37,37,65d5197149a619c5428113a0fd62832b,5,5,xeroderma pigmentosum,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum38.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum38jpg.jpg,data/finalfitz17k/65d5197149a619c5428113a0fd62832b.jpg,5.0,8,2,3,113,val,6
38,38,6f2329b66080b18c4976efd1bb17a2b2,3,4,lichen amyloidosis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen-amyloidosis/lichen-amyloidosis2.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenamyloidosislichenamyloidosis2jpg.jpg,data/finalfitz17k/6f2329b66080b18c4976efd1bb17a2b2.jpg,3.5,5,2,4,47,val,32
39,39,31860ef54bc219bb2b67df8b8dad8417,1,1,becker nevus,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/b/beckers_nevus/beckers_nevus32.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbeckersnevusbeckersnevus32jpg.jpg,data/finalfitz17k/31860ef54bc219bb2b67df8b8dad8417.jpg,1.0,0,0,0,10,val,0
40,40,a475142db21f3b90e967349bd169c2c7,1,1,pilomatricoma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/pilomatrixoma/pilomatrixoma12.jpg,httpwwwdermaamincomsiteimagesclinicalpicppilomatrixomapilomatrixoma12jpg.jpg,data/finalfitz17k/a475142db21f3b90e967349bd169c2c7.jpg,1.0,0,0,0,77,val,26
41,41,f5ac686229ec10ad69d9175606413329,2,1,acrodermatitis enteropathica,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica23.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacrodermatitisenteropathicaacrodermatitisenteropathica23jpg.jpg,data/finalfitz17k/f5ac686229ec10ad69d9175606413329.jpg,1.5,1,2,3,4,val,28
42,42,94fa3d41352c74ad7a3f4918bb831587,2,1,pilomatricoma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/pilomatrixoma/pilomatrixoma15.jpg,httpwwwdermaamincomsiteimagesclinicalpicppilomatrixomapilomatrixoma15jpg.jpg,data/finalfitz17k/94fa3d41352c74ad7a3f4918bb831587.jpg,1.5,1,0,0,77,val,26
43,43,b109982ca5118b0b9178822a185bd766,3,2,acrodermatitis enteropathica,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica40.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacrodermatitisenteropathicaacrodermatitisenteropathica40jpg.jpg,data/finalfitz17k/b109982ca5118b0b9178822a185bd766.jpg,2.5,3,2,3,4,val,28
44,44,c1d5adb07467874f40baa88a9d800e65,4,-1,mucous cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/m/mucous-cyst/mucous-cyst9.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmucouscystmucouscyst9jpg.jpg,data/finalfitz17k/c1d5adb07467874f40baa88a9d800e65.jpg,4.0,6,0,0,59,val,25
45,45,93d60c6f20e1b5b4e08eaaf077a093c5,1,2,pilar cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/sebaceousc-cyst/sebaceousc-cyst7.jpg,httpwwwdermaamincomsiteimagesclinicalpicssebaceousccystsebaceousccyst7jpg.jpg,data/finalfitz17k/93d60c6f20e1b5b4e08eaaf077a093c5.jpg,1.5,1,0,0,59,val,2
46,46,7d91a532796e6923978366eb6d23068a,2,1,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis-lichenoides-chronica/pityriasis-lichenoides-chronica3.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoideschronicapityriasislichenoideschronica3jpg.jpg,data/finalfitz17k/7d91a532796e6923978366eb6d23068a.jpg,1.5,1,2,4,78,val,30
47,47,310c13f3fb5006f4c9a1befc2741b638,4,3,disseminated actinic porokeratosis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_superficial_actinic_porokeratosis/disseminated_superficial_actinic_porokeratosis40.jpg,httpwwwdermaamincomsiteimagesclinicalpicddisseminatedsuperficialactinicporokeratosisdisseminatedsuperficialactinicporokeratosis40jpg.jpg,data/finalfitz17k/310c13f3fb5006f4c9a1befc2741b638.jpg,3.5,5,0,1,18,val,10
48,48,abf0f44b12362196f432666c5683158e,3,2,epidermal nevus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus15.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus15jpg.jpg,data/finalfitz17k/abf0f44b12362196f432666c5683158e.jpg,2.5,3,0,1,24,val,1
49,49,84f75c6da21686206f64b40ba5135716,1,2,lentigo maligna,malignant melanoma,malignant,1 Diagnostic,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna7.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlentigomalignalentigomaligna7jpg.jpg,data/finalfitz17k/84f75c6da21686206f64b40ba5135716.jpg,1.5,1,1,8,46,val,9
50,50,476b9c6388bb92858a2873554c1237bf,1,1,epidermal nevus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus74.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus74jpg.jpg,data/finalfitz17k/476b9c6388bb92858a2873554c1237bf.jpg,1.0,0,0,1,24,val,1
51,51,ec8afda6ecbc7b021e90222ad4b9e181,4,1,stasis edema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-dermatitis/stasis-dermatitis15.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstasisdermatitisstasisdermatitis15jpg.jpg,data/finalfitz17k/ec8afda6ecbc7b021e90222ad4b9e181.jpg,2.5,3,2,4,99,val,4
52,52,92fec94230e482f39a5d1849c797b387,4,4,aplasia cutis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta21.jpg,httpwwwdermaamincomsiteimagesclinicalpicaaplasiacutiscongenitacircumscriptaaplasiacutiscongenitacircumscripta21jpg.jpg,data/finalfitz17k/92fec94230e482f39a5d1849c797b387.jpg,4.0,6,2,4,7,val,20
53,53,465c5929e476897ff54fc128428e1daf,1,1,erythema annulare centrifigum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_annulare_centrifugum/erythema_annulare_centrifugum3.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemaannularecentrifugumerythemaannularecentrifugum3jpg.jpg,data/finalfitz17k/465c5929e476897ff54fc128428e1daf.jpg,1.0,0,2,4,26,val,27
54,54,cc13efc38b39dc2d6d85aef9e8f622f8,2,2,keratosis pilaris,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/k/keratosis-pilaris/keratosis-pilaris52.jpg,httpwwwdermaamincomsiteimagesclinicalpickkeratosispilariskeratosispilaris52jpg.jpg,data/finalfitz17k/cc13efc38b39dc2d6d85aef9e8f622f8.jpg,2.0,2,2,4,44,val,33
55,55,db7e9dd8865e72f5b204efc38c70e2f0,2,2,perioral dermatitis,inflammatory,non-neoplastic,2 Characteristic,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis4.jpg,httpwwwdermaamincomsiteimagesclinicalpicpperioraldermatitisperioraldermatitis4jpg.jpg,data/finalfitz17k/db7e9dd8865e72f5b204efc38c70e2f0.jpg,2.0,2,2,4,74,val,8
56,56,893b77e46a78032e0a85f73ab5ff6042,2,1,porokeratosis of mibelli,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli24.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporokeratosisofmibelliporokeratosisofmibelli24jpg.jpg,data/finalfitz17k/893b77e46a78032e0a85f73ab5ff6042.jpg,1.5,1,0,1,82,val,21
57,57,cfd7c5290a272f48b716b6edd4839797,1,1,nevus sebaceous of jadassohn,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/n/nevus-sebaceous-of-jadassohn/nevus-sebaceous-of-jadassohn20.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnevussebaceousofjadassohnnevussebaceousofjadassohn20jpg.jpg,data/finalfitz17k/cfd7c5290a272f48b716b6edd4839797.jpg,1.0,0,0,1,70,val,39
58,58,5b3185d3026a18d221d9d0945b25cdf8,2,1,pustular psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pustular_psoriasis/pustular_psoriasis14.jpg,httpwwwdermaamincomsiteimagesclinicalpicppustularpsoriasispustularpsoriasis14jpg.jpg,data/finalfitz17k/5b3185d3026a18d221d9d0945b25cdf8.jpg,1.5,1,2,4,87,val,29
59,59,c88c9fdbc850117e3ffd620ab2f13b9e,1,3,erythema nodosum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema-nodosum/erythema-nodosum24.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemanodosumerythemanodosum24jpg.jpg,data/finalfitz17k/c88c9fdbc850117e3ffd620ab2f13b9e.jpg,2.0,2,2,4,29,val,3
60,60,366bc0d324fcd46804749d53cc0f0527,2,1,perioral dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis16.jpg,httpwwwdermaamincomsiteimagesclinicalpicpperioraldermatitisperioraldermatitis16jpg.jpg,data/finalfitz17k/366bc0d324fcd46804749d53cc0f0527.jpg,1.5,1,2,4,74,val,8
61,61,fc81b32afc618847af57d0f68c05f0a6,1,-1,seborrheic keratosis,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-keratoses/seborrheic-keratoses37.jpg,httpwwwdermaamincomsiteimagesclinicalpicsseborrheickeratosesseborrheickeratoses37jpg.jpg,data/finalfitz17k/fc81b32afc618847af57d0f68c05f0a6.jpg,1.0,0,0,1,96,val,23
62,62,9da4cee09e476e202d4f7be0bfe085c8,2,3,perioral dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis13.jpg,httpwwwdermaamincomsiteimagesclinicalpicpperioraldermatitisperioraldermatitis13jpg.jpg,data/finalfitz17k/9da4cee09e476e202d4f7be0bfe085c8.jpg,2.5,3,2,4,74,val,8
63,63,99d25f2e907bfcbe422264eab1563f3d,2,2,sun damaged skin,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn16.jpg,httpwwwdermaamincomsiteimagesclinicalpicssunburnsunburn16jpg.jpg,data/finalfitz17k/99d25f2e907bfcbe422264eab1563f3d.jpg,2.0,2,2,4,102,val,5
64,64,ab433b668de7381fccfc6b349c526a0a,1,2,erythema nodosum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema-nodosum/erythema-nodosum4.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemanodosumerythemanodosum4jpg.jpg,data/finalfitz17k/ab433b668de7381fccfc6b349c526a0a.jpg,1.5,1,2,4,29,val,3
65,65,508e889fe802e48afc42dd1aa0331efc,1,1,erythema elevatum diutinum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_elevatum_diutinum/erythema_elevatum_diutinum6.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemaelevatumdiutinumerythemaelevatumdiutinum6jpg.jpg,data/finalfitz17k/508e889fe802e48afc42dd1aa0331efc.jpg,1.0,0,2,4,27,val,24
